,College Name,Total Enrollment,State,State abbreviation,Graduation Rate,Percent of Applications Accepted,In-state Tuition,In-state Total,Out-of-state Tuition,Out-of-state Total,Room and Board,Avg Book Costs,Avg Personal Costs,Female Students,American Indian / Alaska Native Students,Asian Students,Black Students,Hispanic Students,Native Hawaiian / Pacific Islander Students,White Students,Multi-racial Students,Foreign Exchange Students,Total Minority,# of Applications,Full-time Undergrads,Part-time Undergrads,Percent of Faculty with PhD,Student:Faculty Ratio,Avg Instructional Expenditure per Student,Avg Early Career Pay,Avg Mid Career Pay,Percent STEM Majors,College Type,Degree Length
124,University of Indianapolis,5442,Indiana,IN,69,86.0,29688,39976,29688,39976,10288.0,525,1405,3661,8,85,456,191,8,3736,127,424,875,1487,1417,1646,55,11.1,6735,47300,84500,5,Private,4 Year
125,Bradley University,5300,Illinois,IL,85,91.0,33760,44380,33760,44380,10620.0,2000,1522,2673,10,144,245,282,5,3507,69,387,755,3767,4531,643,75,14.4,7671,55600,104900,38,Private,4 Year
126,Rider University,5294,New Jersey,NJ,70,68.0,41310,56010,41310,56010,14700.0,700,3100,3184,8,235,529,528,8,3367,118,219,1426,3586,2748,1309,84,12.3,11299,51600,99000,5,Private,4 Year
127,Eastern Connecticut State University,5287,Connecticut,CT,50,69.0,11356,24916,22596,36156,13560.0,650,500,2798,16,151,346,482,6,3666,137,55,1138,2172,2766,1531,71,16.9,5719,49200,87800,14,Public,4 Year
128,Christopher Newport University,5221,Virginia,VA,48,87.0,14754,26214,27220,38680,11460.0,525,1889,2997,15,125,414,258,5,3940,251,14,1068,883,2910,1749,80,21.2,4639,50800,87200,25,Public,4 Year
129,Fairfield University,5123,Connecticut,CT,94,70.0,48350,63060,48350,63060,14710.0,700,1100,3081,3,113,137,352,5,3577,67,340,677,4784,2984,1037,86,15.1,11220,62300,116900,17,Private,4 Year
130,Drake University,5062,Iowa,IA,77,92.0,41396,51924,41396,51924,10528.0,560,1675,2974,10,200,160,163,1,4110,79,281,613,2799,3322,726,88,15.0,9473,52800,99900,7,Private,4 Year
131,Virginia State University,5025,Virginia,VA,31,81.0,9056,20264,19576,30784,11208.0,500,600,2997,15,23,4283,99,1,147,0,13,4421,2996,3006,338,61,16.0,5733,44900,81800,14,Public,4 Year
132,Mississippi College,4984,Mississippi,MS,61,65.0,18026,28326,18026,28326,10300.0,600,700,2961,26,118,1164,124,5,2842,52,390,1489,594,1695,721,77,16.5,6170,45200,79500,20,Private,4 Year
133,Keene State College,4957,New Hampshire,NH,61,78.0,14212,25238,23176,34202,11026.0,500,1150,2831,14,56,48,156,2,4152,97,2,373,3121,3480,776,73,16.1,6195,48900,83600,8,Public,4 Year
134,University of Detroit Mercy,4945,Michigan,MI,51,79.0,28000,37496,28000,37496,9496.0,600,2166,2951,17,242,504,133,11,2414,117,576,1024,927,2149,2217,72,13.5,10891,51800,92800,13,Private,4 Year
135,Samford University,4933,Alabama,AL,61,83.0,31650,42200,31650,42200,10550.0,569,1650,3082,17,80,372,218,1,4007,50,153,738,1680,2959,402,74,14.7,9533,48400,90500,3,Private,4 Year
136,Widener University,4912,Pennsylvania,PA,63,70.0,45948,60394,45948,60394,14446.0,500,1350,3022,17,173,731,230,6,3285,117,206,1274,2139,2186,2171,88,12.6,9603,55700,100100,13,Private,4 Year
137,Roger Williams University,4884,Rhode Island,RI,61,85.0,34522,50412,34522,50412,15890.0,500,730,2470,42,107,117,238,3,3496,4,243,511,3304,2111,1489,44,16.4,7957,52900,92700,12,Private,4 Year
138,Butler University,4848,Indiana,IN,83,86.0,41120,54950,41120,54950,13830.0,500,1600,2877,8,119,182,146,0,4006,91,139,546,2362,2607,148,77,10.9,9511,51800,99300,9,Private,4 Year
139,University of Tulsa,4682,Oklahoma,OK,47,91.0,41509,52625,41509,52625,11116.0,1200,2350,1990,240,128,183,189,4,2506,68,1225,812,1712,2936,433,94,11.5,11743,58700,107200,36,Private,4 Year
140,Wentworth Institute of Technology,4558,Massachusetts,MA,64,85.0,33950,48140,33950,48140,14190.0,850,920,886,10,285,212,155,0,2792,247,274,909,1480,2961,572,10,15.4,17858,62700,112700,39,Private,4 Year
141,Providence College,4533,Rhode Island,RI,96,65.0,50390,65090,50390,65090,14700.0,450,1100,2533,8,51,189,318,9,3509,77,97,652,5139,3717,1358,66,18.4,8135,58900,106900,11,Private,4 Year
142,Valparaiso University,4507,Indiana,IN,95,83.0,40260,52120,40260,52120,11860.0,500,800,2314,15,87,283,329,1,2930,91,618,806,2075,2501,198,87,14.2,9681,53300,98000,31,Private,4 Year
143,Hamline University,4469,Minnesota,MN,65,82.0,41298,51656,41298,51656,10358.0,450,550,2770,25,180,190,180,5,2255,131,79,711,1006,1362,102,89,13.0,10296,48100,90400,5,Private,4 Year
144,Hampton University,4393,Virginia,VA,70,52.0,26702,38480,26702,38480,11778.0,600,2000,2858,6,71,3921,50,0,283,1,61,4049,7178,4623,740,60,14.0,6791,52700,92600,12,Private,4 Year
145,Seattle Pacific University,4217,Washington,WA,66,86.0,42939,54735,42939,54735,11796.0,600,1250,2853,19,430,152,334,11,2682,292,155,1238,1183,1922,704,83,16.8,10368,53600,103400,9,Private,4 Year
146,University of Richmond,4182,Virginia,VA,100,46.0,52610,64860,52610,64860,12250.0,700,1125,2269,13,215,345,258,2,2560,137,369,970,5892,2854,594,75,11.7,11984,59800,107500,13,Private,4 Year
147,University of Portland,4143,Oregon,OR,72,84.0,45904,59354,45904,59354,13450.0,600,1100,2448,7,404,41,408,63,2594,337,181,1260,1758,2041,174,92,13.2,9060,58500,104900,28,Private,4 Year
148,Stetson University,4137,Florida,FL,73,79.0,46030,59082,46030,59082,13052.0,600,1365,2326,16,94,288,564,1,2751,124,211,1087,1557,1964,81,85,12.5,10307,47000,86000,7,Private,4 Year
149,Saint Xavier University,4073,Illinois,IL,55,82.0,33880,45220,33880,45220,11340.0,600,794,2803,12,112,668,920,2,2073,71,13,1785,785,1670,726,87,13.7,8953,49400,91200,10,Private,4 Year
150,Calvin College,3993,Michigan,MI,81,85.0,34600,44800,34600,44800,10200.0,400,1210,2211,16,173,94,129,0,2978,111,425,523,1784,3401,136,75,14.8,7786,50200,91100,23,Private,4 Year
151,Manhattan College,3970,New York,NY,79,71.0,43480,59680,43480,59680,16200.0,500,1800,1791,7,151,138,701,0,2121,72,135,1069,2432,2578,254,92,13.6,10062,64000,125700,40,Private,4 Year
152,Francis Marion University,3944,South Carolina,SC,43,92.0,11160,19108,21544,29492,7948.0,400,2430,2769,11,47,1778,56,2,1904,38,63,1932,1801,3224,436,76,19.1,5039,42900,77600,18,Public,4 Year
153,Clarkson University,3873,New York,NY,77,90.0,49444,64352,49444,64352,14908.0,700,1300,1184,10,122,77,170,1,2992,73,319,453,2174,2332,53,95,15.8,11659,66400,130100,58,Private,4 Year
154,Fort Lewis College,3791,Colorado,CO,46,82.0,9040,18918,19696,29574,9878.0,500,2500,1846,887,24,31,388,8,2065,227,53,1565,3440,3793,486,89,19.1,4362,48300,82600,19,Public,4 Year
155,Ohio Northern University,3695,Ohio,OH,83,80.0,32260,43910,32260,43910,11650.0,600,825,1889,4,56,113,40,3,2875,105,232,321,2936,2502,66,73,14.5,9979,54400,103900,22,Private,4 Year
156,John Carroll University,3688,Ohio,OH,89,87.0,41340,53214,41340,53214,11874.0,600,450,1870,2,62,186,110,0,3091,77,86,437,2421,3168,392,89,14.5,7738,51600,97300,16,Private,4 Year
157,Norwich University,3672,Vermont,VT,63,93.0,40016,53856,40016,53856,13840.0,500,800,745,14,85,200,249,12,2785,144,41,704,1743,1862,382,71,13.1,9209,57000,99100,20,Private,4 Year
158,Pacific University,3640,Oregon,OR,42,90.0,44298,56826,44298,56826,12528.0,450,1100,2307,24,507,58,288,56,2086,267,137,1200,943,1041,35,76,10.9,11216,50200,94000,8,Private,4 Year
159,Bucknell University,3624,Pennsylvania,PA,93,58.0,56092,69754,56092,69754,13662.0,800,1200,1883,1,126,114,187,0,2836,124,222,552,6548,3316,31,95,14.2,13675,66700,122900,40,Private,4 Year
160,Delta State University,3614,Mississippi,MS,58,98.0,7246,14968,7246,14968,7722.0,500,1200,2244,4,24,1325,45,5,2036,23,111,1426,967,2806,538,49,17.1,5113,40800,74200,5,Public,4 Year
161,Wayne State College,3470,Nebraska,NE,52,100.0,6989,14657,12299,19967,7668.0,540,1660,1990,25,19,95,229,2,2734,55,18,425,1373,2754,474,60,20.3,4550,40600,73400,11,Public,4 Year
162,Hope College,3455,Michigan,MI,72,87.0,34010,44320,34010,44320,10310.0,465,1100,2085,3,54,85,258,0,2861,67,85,467,1712,2505,208,72,12.5,9284,49200,90900,18,Private,4 Year
163,Marymount University,3441,Virginia,VA,55,82.0,31466,44656,31466,44656,13190.0,500,750,2351,17,274,500,451,17,1622,109,316,1368,941,1247,776,77,10.6,8575,52300,93100,15,Private,4 Year
164,Clark University,3423,Massachusetts,MA,79,71.0,45730,54900,45730,54900,9170.0,500,950,1946,3,179,121,169,2,1752,59,847,533,2887,1928,296,94,10.5,11951,52600,101400,14,Private,4 Year
165,Andrews University,3418,Michigan,MI,46,62.0,29288,38366,29288,38366,9078.0,900,1320,1583,10,315,702,458,13,1043,71,727,1569,1130,1586,326,62,11.5,10908,47600,85000,7,Private,4 Year
166,Merrimack College,3337,Massachusetts,MA,80,78.0,41760,57605,41760,57605,15845.0,375,1000,1744,3,45,99,177,0,2137,47,193,371,1981,1927,1084,73,16.8,8707,56000,102500,13,Private,4 Year
167,Pacific Lutheran University,3242,Washington,WA,83,87.0,42066,52856,42066,52856,10790.0,600,1516,2049,28,218,95,249,24,2181,233,162,847,1603,2580,302,78,11.0,9431,54500,98100,20,Private,4 Year
168,Rollins College,3207,Florida,FL,90,65.0,49760,64495,49760,64495,14735.0,955,750,1880,9,95,197,487,2,2026,91,222,881,1777,1668,1052,81,13.3,11561,49000,87000,7,Private,4 Year
169,Tuskegee University,3103,Alabama,AL,65,81.0,22170,31820,22170,31820,9650.0,600,1425,1855,2,26,2345,32,0,52,0,20,2405,2267,2825,144,70,12.2,10872,54500,93500,30,Private,4 Year
170,University of Montevallo,3070,Alabama,AL,51,66.0,12760,22090,25780,35110,9330.0,300,600,2068,18,19,434,93,0,2228,68,39,632,1351,2385,331,72,18.9,5883,38900,70700,7,Public,4 Year
171,North Central College,3043,Illinois,IL,76,78.0,38880,49899,38880,49899,11019.0,450,1800,1676,3,66,118,276,2,2226,79,56,544,1127,1310,766,73,16.4,8871,50400,92900,9,Private,4 Year
172,Smith College,2989,Massachusetts,MA,90,55.0,52404,69924,52404,69924,17520.0,500,1050,2927,5,348,149,276,2,1447,128,388,908,2925,2479,95,85,10.3,21199,52700,98200,26,Private,4 Year
173,Oberlin College,2978,Ohio,OH,83,58.0,55054,71392,55054,71392,16338.0,575,1119,1647,3,124,154,215,2,2071,168,218,666,4778,2587,120,77,10.1,16593,53100,96800,21,Private,4 Year
174,Xavier University of Louisiana,2976,Louisiana,LA,49,91.0,24488,33535,24488,33535,9047.0,617,781,2159,4,384,2088,77,0,211,78,96,2631,2097,2793,166,67,14.4,8323,46700,88200,35,Private,4 Year
175,Baker University,2957,Kansas,KS,65,80.0,29830,38240,29830,38240,8410.0,400,2250,1729,54,43,281,147,11,2194,39,24,575,602,958,466,58,11.0,6136,47800,84200,2,Private,4 Year
176,Carthage College,2948,Wisconsin,WI,62,88.0,43550,55540,43550,55540,11990.0,500,1300,1591,12,33,153,126,7,2178,71,16,402,1616,1405,580,74,15.9,7364,48900,85400,17,Private,4 Year
177,Colgate University,2888,New York,NY,93,51.0,55870,69865,55870,69865,13995.0,500,750,1570,2,103,120,243,3,1942,101,252,572,4856,2649,25,95,10.5,15494,68400,130600,26,Private,4 Year
178,John Brown University,2850,Arkansas,AR,75,67.0,26928,36152,26928,36152,9224.0,400,1350,1654,51,34,108,152,3,2181,103,108,451,605,961,99,68,13.3,8118,47000,82700,9,Private,4 Year
179,University of Puget Sound,2826,Washington,WA,63,70.0,49776,62316,49776,62316,12540.0,630,1800,1667,4,189,29,191,1,2112,248,11,662,4044,2738,138,79,15.0,11217,54200,101300,21,Private,4 Year
180,Morningside College,2823,Iowa,IA,56,91.0,31530,41140,31530,41140,9610.0,500,1000,1931,10,14,29,87,5,2321,29,46,174,586,950,228,48,13.0,8111,44900,82100,6,Private,4 Year
181,Milwaukee School of Engineering,2810,Wisconsin,WI,67,89.0,40749,51138,40749,51138,10389.0,1000,2075,676,6,86,72,125,13,1925,41,342,343,1217,1773,884,35,16.7,7140,65700,117600,69,Private,4 Year
182,College of the Holy Cross,2787,Massachusetts,MA,95,56.0,52770,67290,52770,67290,14520.0,400,900,1366,5,141,110,296,1,1913,98,40,651,2994,2675,22,92,11.3,12138,61800,114600,24,Private,4 Year
183,Lander University,2787,South Carolina,SC,51,87.0,11700,20800,21300,30400,9100.0,528,1702,1920,4,42,858,36,2,1626,55,36,997,1166,2074,341,67,17.0,6119,42600,77100,9,Public,4 Year
184,Willamette University,2780,Oregon,OR,68,80.0,50074,62514,50074,62514,12440.0,400,790,1496,33,189,53,270,9,1626,198,277,752,1658,1595,159,91,13.3,10779,52200,97700,14,Private,4 Year
185,Mississippi University for Women,2696,Mississippi,MS,63,84.0,7040,14464,7040,14464,7424.0,600,1500,2192,6,41,987,20,2,1573,12,55,1068,480,1673,1014,49,15.8,5704,39500,69500,2,Public,4 Year
186,LeTourneau University,2667,Texas,TX,56,87.0,30210,40180,30210,40180,9970.0,600,1400,1373,10,28,278,227,2,1554,99,116,644,477,1532,77,58,20.8,6863,56600,98900,21,Private,4 Year
187,Saint Michael's College,2618,Vermont,VT,84,72.0,45375,57595,45375,57595,12220.0,500,750,1544,5,43,51,98,1,2241,43,123,241,1910,1715,106,79,14.5,10190,52900,98500,18,Private,4 Year
188,Barnard College,2573,New York,NY,91,56.0,55032,72257,55032,72257,17225.0,600,850,2568,1,367,168,286,1,1409,133,192,956,2496,2121,69,83,10.3,12580,59200,109800,19,Private,4 Year
189,University of Evansville,2567,Indiana,IN,77,78.0,36416,48876,36416,48876,12460.0,700,960,1446,4,38,72,71,0,1924,49,325,234,2096,2551,407,60,15.8,7780,50300,89900,17,Private,4 Year
190,University of Dallas,2548,Texas,TX,63,86.0,40652,53052,40652,53052,12400.0,500,1200,1195,8,175,207,386,4,1364,68,293,848,681,1058,73,85,13.4,8731,53000,96400,16,Private,4 Year
191,Lafayette College,2503,Pennsylvania,PA,92,60.0,52880,68520,52880,68520,15640.0,600,1000,1173,3,81,118,166,1,1708,53,196,422,4010,2018,226,93,10.5,15365,66500,122500,47,Private,4 Year
192,Peru State College,2499,Nebraska,NE,44,71.0,7452,15462,7482,15492,8010.0,500,900,1497,15,31,182,130,7,1949,68,0,433,701,959,457,48,20.1,4870,42600,74800,6,Public,4 Year
193,Oklahoma Christian University,2475,Oklahoma,OK,45,99.0,22760,30950,22760,30950,8190.0,500,1900,1143,48,203,308,142,1,1619,153,0,855,776,1419,228,58,16.2,6578,49700,87900,41,Private,4 Year
194,Gustavus Adolphus College,2457,Minnesota,MN,80,81.0,45400,55310,45400,55310,9910.0,400,700,1332,2,97,46,81,1,2074,86,65,313,1709,2281,50,79,12.5,9907,51200,96800,22,Private,4 Year
195,Gettysburg College,2447,Pennsylvania,PA,83,69.0,54480,67490,54480,67490,13010.0,500,500,1284,1,45,87,113,0,1959,70,92,316,3596,1944,46,94,12.1,14720,58400,109300,24,Private,4 Year
196,Muhlenberg College,2440,Pennsylvania,PA,83,73.0,52595,64360,52595,64360,11765.0,600,850,1457,4,64,74,155,0,1839,36,28,333,2519,1656,352,76,12.8,10888,53400,101900,20,Private,4 Year
197,Trinity University,2432,Texas,TX,93,75.0,42976,56440,42976,56440,13464.0,500,490,1292,7,142,99,454,1,1362,108,168,811,2425,2110,95,94,9.6,14703,54900,102900,27,Private,4 Year
198,Luther College,2385,Iowa,IA,77,90.0,42290,51750,42290,51750,9460.0,600,400,1340,8,39,34,80,0,2014,49,146,210,1549,2269,85,73,13.8,8949,48200,85900,21,Private,4 Year
199,Hood College,2365,Maryland,MD,72,81.0,39492,52192,39492,52192,12700.0,450,690,1502,1,78,255,138,0,1569,73,155,545,699,710,399,82,14.4,12434,47900,82600,32,Private,4 Year
200,Dickinson College,2364,Pennsylvania,PA,87,84.0,54661,68359,54661,68359,13698.0,595,1250,1373,1,55,97,142,1,1739,80,203,376,3014,1889,62,87,11.2,13861,55800,100100,25,Private,4 Year
201,Wellesley College,2323,Massachusetts,MA,91,43.0,53732,70200,53732,70200,16468.0,500,700,2262,1,538,128,205,0,932,138,275,1010,2895,2195,156,94,10.6,21409,58900,106200,34,Private,4 Year
202,Spalding University,2311,Kentucky,KY,89,71.0,24500,32100,24500,32100,7600.0,600,900,1698,3,32,425,66,5,1448,57,8,588,283,589,263,50,10.6,6860,44800,79200,0,Private,4 Year
203,Stonehill College,2284,Massachusetts,MA,97,63.0,42746,58746,42746,58746,16000.0,480,800,1353,1,51,99,103,1,1909,41,18,296,3646,2022,926,79,13.0,7495,55900,103200,18,Private,4 Year
204,Denison University,2278,Ohio,OH,81,83.0,51960,64670,51960,64670,12710.0,500,600,1313,1,84,158,229,2,1515,80,165,554,2762,1835,14,88,11.6,12423,54400,104800,22,Private,4 Year
205,DePauw University,2215,Indiana,IN,82,83.0,49704,62724,49704,62724,13020.0,550,950,1201,6,75,126,76,0,1517,144,208,427,1994,1983,36,78,11.1,11525,56600,101000,24,Private,4 Year
206,Berry College,2177,Georgia,GA,63,66.0,36556,49326,36556,49326,12770.0,350,2375,1335,2,26,93,134,3,1806,62,19,320,1858,1620,49,80,16.3,10511,44900,84900,21,Private,4 Year
207,Taylor University,2146,Indiana,IN,98,62.0,34114,43728,34114,43728,9614.0,450,1250,1211,6,63,55,63,7,1836,15,101,209,1769,1757,81,60,14.2,8294,48700,90600,16,Private,4 Year
208,Benedictine College,2138,Kansas,KS,58,98.0,29530,39830,29530,39830,10300.0,350,250,1124,8,26,70,112,7,1690,95,68,318,632,702,501,64,14.1,5922,48700,91800,13,Private,4 Year
209,Spelman College,2135,Georgia,GA,65,33.0,29314,43179,29314,43179,13865.0,660,2400,2135,3,2,1855,7,0,1,58,32,1925,3713,1971,107,73,12.5,9988,50200,85400,24,Private,4 Year
210,Williams College,2126,Massachusetts,MA,99,30.0,55450,69950,55450,69950,14500.0,500,1200,1081,3,223,147,243,0,1173,146,191,762,4186,1988,29,94,9.0,22014,67500,127500,32,Private,4 Year
211,University of Dubuque,2121,Iowa,IA,45,97.0,34110,44040,34110,44040,9930.0,400,1500,931,11,41,226,142,4,1408,60,59,484,576,662,131,85,16.5,8767,44200,79700,7,Private,4 Year
212,Goucher College,2120,Maryland,MD,77,71.0,44300,58806,44300,58806,14506.0,500,1200,1502,5,55,218,137,1,1220,62,25,478,1151,850,80,78,9.2,16623,49400,90600,11,Private,4 Year
213,Drew University,2113,New Jersey,NJ,83,73.0,39500,53608,39500,53608,14108.0,520,660,1247,4,105,249,204,2,1016,52,180,616,2153,1192,87,93,10.2,14907,52800,95000,16,Private,4 Year
214,University of Charleston,2111,West Virginia,WV,57,78.0,30900,40080,30900,40080,9180.0,400,750,1159,19,57,209,54,2,1294,21,133,362,682,771,611,26,2.5,7683,44600,81900,4,Private,4 Year
215,Morehouse College,2109,Georgia,GA,83,45.0,27574,41012,27574,41012,13438.0,250,600,1,1,1,1988,13,0,1,4,66,2007,3708,2852,153,71,17.8,8122,55700,98700,26,Private,4 Year
216,Eckerd College,2083,Florida,FL,59,78.0,44540,57128,44540,57128,12588.0,600,1000,1293,7,35,101,163,4,1596,60,89,370,1422,1363,23,82,12.8,15003,49200,88400,25,Private,4 Year
217,Macalester College,2073,Minnesota,MN,77,51.0,54344,66500,54344,66500,12156.0,500,700,1255,1,146,49,123,1,1361,111,281,431,2939,1723,113,85,11.9,14213,53600,100400,31,Private,4 Year
218,Colorado College,2067,Colorado,CO,84,49.0,55470,67982,55470,67982,12512.0,450,1200,1110,9,94,48,184,0,1354,173,143,508,3207,1892,7,85,11.3,14664,53100,97900,23,Private,4 Year
219,Carleton College,2057,Minnesota,MN,91,59.0,54759,68844,54759,68844,14085.0,550,550,1086,3,184,79,130,2,1333,93,197,491,2694,1870,12,81,10.4,17960,58800,109900,45,Private,4 Year
220,Rhodes College,2054,Tennessee,TN,77,80.0,47890,59293,47890,59293,11403.0,550,1500,1189,6,133,128,73,0,1547,62,59,402,2302,1345,59,90,10.8,13388,51900,97800,25,Private,4 Year
221,Roanoke College,2050,Virginia,VA,72,80.0,44030,57720,44030,57720,13690.0,450,1200,1223,7,30,110,76,2,1681,85,59,310,2227,1460,239,85,13.0,9405,48500,85100,18,Private,4 Year
222,Oklahoma Baptist University,1979,Oklahoma,OK,50,90.0,28258,35608,28258,35608,7350.0,515,1290,1164,107,17,118,45,5,1390,159,74,451,758,1707,705,63,15.1,5511,43900,76600,8,Private,4 Year
223,Saint Anselm College,1968,New Hampshire,NH,97,74.0,41200,55700,41200,55700,14500.0,450,1120,1186,3,12,36,57,2,1570,34,12,144,2095,1873,94,70,14.5,6719,56400,100300,11,Private,4 Year
224,Wittenberg University,1964,Ohio,OH,78,88.0,39500,49856,39500,49856,10356.0,400,800,1118,3,24,127,62,1,1576,95,47,312,1979,1980,144,82,12.8,10414,52400,105400,22,Private,4 Year
225,University of Maine at Farmington,1960,Maine,ME,59,66.0,9666,19392,19778,29504,9726.0,450,1647,1311,13,14,35,26,2,1645,40,14,130,1208,1906,344,67,15.9,5712,41100,71700,5,Public,4 Year
226,Connecticut College,1900,Connecticut,CT,91,51.0,54820,69970,54820,69970,15150.0,600,500,1174,0,67,62,163,0,1363,52,102,344,3035,1630,232,86,10.7,14773,57500,100800,30,Private,4 Year
227,Illinois Wesleyan University,1893,Illinois,IL,83,44.0,47636,58620,47636,58620,10984.0,400,650,1066,5,82,87,128,1,1337,43,155,346,3050,1818,23,77,12.9,9605,53100,96000,18,Private,4 Year
228,North Carolina Wesleyan College,1872,North Carolina,NC,52,85.0,31000,41800,31000,41800,10800.0,600,1295,1089,18,11,895,38,0,563,32,76,994,812,646,84,77,12.7,10090,45300,78800,8,Private,4 Year
229,Freed-Hardeman University,1867,Tennessee,TN,62,61.0,21950,30210,21950,30210,8260.0,600,1600,1091,4,10,230,38,0,1313,28,33,310,895,1174,50,68,16.1,6078,43700,78200,9,Private,4 Year
230,Colby College,1847,Maine,ME,91,46.0,55210,69400,55210,69400,14190.0,500,1000,978,3,103,56,113,0,1110,98,196,373,2848,1720,35,83,10.2,15954,59200,103300,25,Private,4 Year
231,Bowdoin College,1805,Maine,ME,96,30.0,53922,68620,53922,68620,14698.0,1495,875,903,2,114,88,229,0,1147,117,98,550,3356,1490,8,93,11.2,20447,61300,112000,37,Private,4 Year
232,Amherst College,1792,Massachusetts,MA,100,23.0,56426,71166,56426,71166,14740.0,660,1598,865,6,234,222,235,1,751,81,172,779,4302,1593,5,93,8.4,21424,63800,116500,32,Private,4 Year
233,Davidson College,1770,North Carolina,NC,94,40.0,51447,65819,51447,65819,14372.0,600,1011,895,11,102,114,117,0,1220,71,104,415,2373,1601,6,95,12.0,17581,57300,106900,28,Private,4 Year
234,Ohio Wesleyan University,1734,Ohio,OH,75,78.0,45760,58190,45760,58190,12430.0,550,550,927,1,40,116,72,0,1255,79,125,308,2190,1780,48,93,12.1,12011,51300,99200,21,Private,4 Year
235,Grinnell College,1734,Iowa,IA,83,68.0,52392,65202,52392,65202,12810.0,400,400,947,3,128,100,134,0,1004,74,228,439,2039,1333,30,88,9.5,18979,53400,96500,41,Private,4 Year
236,Christian Brothers University,1667,Tennessee,TN,63,59.0,32820,40220,32820,40220,7400.0,600,900,936,5,84,522,99,1,795,39,49,750,880,1068,364,81,11.1,8129,51500,96500,14,Private,4 Year
237,Kenyon College,1662,Ohio,OH,88,70.0,55930,68440,55930,68440,12510.0,750,480,908,9,87,58,100,0,1223,59,76,313,2212,1445,1,95,11.1,14067,55000,103800,17,Private,4 Year
238,Wartburg College,1661,Iowa,IA,67,87.0,41280,51276,41280,51276,9996.0,400,850,870,1,20,80,42,1,1290,36,162,180,1231,1295,105,66,12.4,7735,49300,88000,34,Private,4 Year
239,Wofford College,1658,South Carolina,SC,75,62.0,43845,56530,43845,56530,12685.0,605,1440,852,3,47,125,54,3,1326,53,39,285,1501,1059,34,91,15.3,7875,51300,96600,28,Private,4 Year
240,Lake Forest College,1626,Illinois,IL,77,65.0,47064,57454,47064,57454,10390.0,920,1320,934,4,81,108,243,0,941,57,148,493,979,968,20,91,10.7,15687,55400,102600,21,Private,4 Year
241,University of Mobile,1600,Alabama,AL,52,73.0,22820,32420,22820,32420,9600.0,550,1200,1062,26,10,380,23,0,1001,34,53,473,452,1417,301,59,16.6,5412,40600,74100,7,Private,4 Year
242,Loras College,1569,Iowa,IA,70,78.0,34184,42459,34184,42459,8275.0,500,1200,752,1,13,39,89,2,1305,22,28,166,1641,1663,170,61,14.2,7578,48000,90100,14,Private,4 Year
243,Belmont Abbey College,1560,North Carolina,NC,52,78.0,18500,28855,18500,28855,10355.0,300,2480,890,4,15,391,23,0,631,5,21,438,632,709,131,78,13.2,7550,46700,82900,7,Private,4 Year
244,Albertus Magnus College,1550,Connecticut,CT,63,96.0,32060,45260,32060,45260,13200.0,500,1500,1031,6,7,515,217,2,647,20,11,767,353,416,230,90,11.5,8861,49700,85900,2,Private,4 Year
245,Lawrence University,1511,Wisconsin,WI,77,76.0,47475,57816,47475,57816,10341.0,525,975,823,8,60,51,100,0,1068,59,158,278,1243,1129,74,76,10.1,13965,51500,98800,25,Private,4 Year
246,West Virginia Wesleyan College,1511,West Virginia,WV,67,89.0,31640,40496,31640,40496,8856.0,450,1100,847,5,3,122,27,3,1205,43,72,203,1566,1509,170,58,16.4,8080,47000,85200,21,Private,4 Year
247,Ouachita Baptist University,1501,Arkansas,AR,65,85.0,26790,34670,26790,34670,7880.0,500,1500,769,11,13,129,58,1,1251,0,37,212,910,1310,61,63,13.3,6413,44100,80200,18,Private,4 Year
248,Marietta College,1500,Ohio,OH,96,60.0,36040,47360,36040,47360,11320.0,470,810,643,2,20,69,38,0,1097,32,158,161,1611,1089,210,80,13.2,10223,51200,94300,45,Private,4 Year
249,Whitman College,1498,Washington,WA,72,54.0,51764,64938,51764,64938,13174.0,750,800,843,5,80,14,117,0,1090,85,58,301,1861,1220,46,80,10.5,13198,54600,102600,33,Private,4 Year
250,Dickinson State University,1479,North Dakota,ND,46,95.0,6765,13663,9544,16442,6898.0,600,2000,888,14,9,60,66,4,1167,38,80,191,434,1376,237,50,16.5,4525,46400,81200,8,Public,4 Year
251,Presbyterian College,1460,South Carolina,SC,85,77.0,38660,49140,38660,49140,10480.0,554,1429,845,4,45,199,28,1,1080,23,70,300,1082,1133,30,80,13.4,8354,48800,89900,14,Private,4 Year
252,Dordt College,1459,Iowa,IA,87,93.0,30870,40460,30870,40460,9590.0,450,2800,672,3,13,22,12,103,1056,0,122,153,604,1048,56,61,12.5,7325,51000,89600,17,Private,4 Year
253,Ferrum College,1451,Virginia,VA,22,83.0,34175,45675,34175,45675,11500.0,500,1600,685,6,8,436,77,3,795,69,14,599,1339,1051,82,53,12.5,7967,43000,80600,6,Private,4 Year
254,Carroll College,1440,Montana,MT,79,85.0,35486,45366,35486,45366,9880.0,480,930,839,18,21,11,71,4,1133,23,23,148,1160,1357,737,74,17.8,7666,48200,91400,25,Private,4 Year
255,Coe College,1436,Iowa,IA,67,74.0,45000,54480,45000,54480,9480.0,500,2200,805,3,33,71,109,1,1049,45,64,262,1006,1127,205,73,12.7,10141,47200,86900,24,Private,4 Year
